Accession	GeneName	Description	PG.Qvalue	S0.1	S0.2	S0.3	S3.1	S3.2	S3.3	S6.1	S6.2	S6.3	S9.1	S9.2	S9.3	S12.1	S12.2	S12.3	S24.1	S24.2	S24.3
Q96CP7	TLCD1	TLC domain-containing protein 1	6.15E-34	NaN	30843.85352	148334.2344	37851.44531	81250.80469	99208.28906	268946.25	151805.5781	315992.8125	47970.78125	91158.96094	156407.6406	254431.2031	505560.5938	206110.5625	198282.3438	214014.4063	269084.625
Q96CQ1	SLC25A36	Solute carrier family 25 member 36	6.10E-26	1288806.375	739068.1875	1372112.375	1334009.625	992257.8125	1413050.75	1256332.625	902320.9375	911151.1875	932304	921957.375	1105705.25	622505.5625	839663.875	880436.5625	457341.0938	760795.625	676735.4375
Q96CS2	HAUS1	HAUS augmin-like complex subunit 1	7.28E-36	6657776.5	7730054.5	5634820.5	6203380	6748725	6085746	6295080.5	5249886	6043898.5	6009211	6186410.5	6169284	5855334	6519225	5969361.5	5239455	5906151.5	5766799
Q96CS3	FAF2	FAS-associated factor 2	5.29E-44	4537922	5011771	4802842.5	5076014.5	4828349	4909446	5079582.5	4917461	4349238.5	5106714	4873540.5	4953532	5139959.5	5278188.5	5215864	5448587.5	5510456	5515053
Q96CS4	ZNF689	Zinc finger protein 689	6.40E-28	203135.2031	258281.8594	638608.1875	210984.6094	190335	312148.9688	196616.6875	216344.1406	329734.625	12335.41113	230857.7344	466124.2188	87983.32813	143380.375	219461.25	90533.14844	276109.3125	271192.5313
Q96CS7	PLEKHB2	Pleckstrin homology domain-containing family B member 2	1.77E-26	971363.375	830325.9375	1180355.25	1160755.375	1605216.5	724151.625	1128207.875	539233.8125	702320.75	992090.125	1910479.875	1588956.375	1272184.125	1659750.625	991543.0625	896621.25	1141834.875	1433147.625
Q96CT7	CCDC124	Coiled-coil domain-containing protein 124	1.08E-37	9808801	8179782.5	8681657	8844682	9349520	9516241	8410315	8588750	8128111	8861416	9402991	8713091	8941272	8797856	9122439	7677626	9015644	8309770.5
Q96CU9	FOXRED1	FAD-dependent oxidoreductase domain-containing protein 1	1.73E-31	4030536.25	3967339	4528939.5	3358614.5	4036140.75	3543299.25	4394315.5	3452453.5	4192798.5	3301085.5	3779256.5	3501625.5	3120010.25	2839769.25	3922952.25	4258050	3444885.5	3134160.5
Q96CV9	OPTN	Optineurin	8.06E-34	1560827.875	1664834.25	1616532.375	1507506.5	1777004.75	1833904.375	1972330.25	1492001.75	1951030	1671476.625	1573677.125	1893680.125	1733394.75	1685084.625	1641680.125	2148259.25	1949842.5	1830886.375
Q96CW1	AP2M1	AP-2 complex subunit mu	3.74E-35	6468142.5	7059306.5	6296414	7642671	6966730.5	7140112	7402253	8536906	7766624	7285647.5	7382631.5	7909030.5	7289015.5	8144519	7992106	7373493.5	8154220	8729436
Q96CW5	TUBGCP3	Gamma-tubulin complex component 3	9.91E-40	1386513.375	1572802.625	1527968.75	1632073.75	1643101.25	1290201.625	1456182.875	1470218.125	1400166.75	1323643.875	1286763.75	1157985.5	1328342.875	1304790.375	1411010.875	1487671.25	1294709.75	1360897.75
Q96CW6	SLC7A6OS	Probable RNA polymerase II nuclear localization protein SLC7A6OS	3.09E-26	2075746	2178868	1470523.125	2617928	1395834.375	1714355.625	3101563	2456032.75	1614914.875	2285789.75	1516465.75	2423525.75	1519196.5	2518799.5	1623265.5	2128177	1336534.625	2342623
Q96CX2	KCTD12	BTB/POZ domain-containing protein KCTD12	4.00E-34	6127828.5	6065395.5	7322605.5	5554725.5	6536107.5	6495907.5	5958634	7277747.5	5976938.5	6434205.5	6719383	6615768.5	6431076	6440051.5	6548455	5996812.5	6374045.5	6281800.5
Q96D05	FAM241B	Protein FAM241B	1.27E-09	80004.67969	NaN	NaN	119264.1094	267533.6563	NaN	397200.9063	747870.3125	515142.0313	269278.2813	NaN	46293.36719	108318.5859	407759.75	122387	805749.625	316695.8438	104578.9766
Q96D15	RCN3	Reticulocalbin-3	7.16E-37	8568759	7138173	7755278	6958019.5	6698654.5	7690470.5	7944820	6722998	7263172.5	7139311	7103806.5	6574965.5	6736539.5	6890950	6113764.5	6186524	6581354.5	6905276
Q96D31	ORAI1	Calcium release-activated calcium channel protein 1	1.34E-18	NaN	NaN	NaN	1278807.25	1103620	NaN	NaN	NaN	1136803.625	890234.25	1753035.5	644013.1875	525666.1875	731434.125	780371.4375	165977.6406	770156.125	481257.5938
Q96D46	NMD3	60S ribosomal export protein NMD3	4.57E-49	9795560	10048572	10224311	10412712	10486103	9349668	10710872	10195463	10131541	10102093	9164617	10253491	9211549	9713407	9634837	8429317	8610626	8747737
Q96D53	COQ8B	Atypical kinase COQ8B, mitochondrial	1.22E-37	322982.9375	231860.6563	215736.1406	252155.2031	244335.0469	261620.0938	326238.4688	245278.875	271561.625	271366.8125	240148.6563	198239.9844	250077.8906	234838.6094	263837.3438	244364.3281	286894.1875	236467.5156
Q96D70	R3HDM4	R3H domain-containing protein 4	3.08E-41	573070.0625	606071.0625	966031.625	946513.0625	781103.125	873910.75	824164.5625	1362369	653927.625	1174548.125	661434.3125	741631.75	630025.5	595640.5	665788.4375	670895.5	1117064.125	213152.2188
Q96D71	REPS1	RalBP1-associated Eps domain-containing protein 1	2.66E-39	5694193.5	5536653.5	6866498	5630626.5	6071782.5	4876611.5	5697805.5	5895380.5	5289198	5706436.5	5155480	4306052	5067493	4962045	4585538.5	4941863.5	5750168.5	5060034.5
Q96DA6	DNAJC19	Mitochondrial import inner membrane translocase subunit TIM14	5.10E-28	3897308	4456698	6423427.5	5250792.5	4858114	4896074	5241129	5362456	5131399.5	4710807.5	4218385	4837567.5	4656043.5	4950203.5	4399402	4511486	4693192	3640491.25
Q96DB5	RMDN1	Regulator of microtubule dynamics protein 1	4.05E-35	3918738	4084595.75	4631399.5	4027609	4052197	3837488.5	5245557.5	4965791.5	4548821.5	4095986.75	4854238	4618798	4545124.5	4218817	4471810.5	4399092.5	3820062	4032839.25
Q96DC7	TMCO6	Transmembrane and coiled-coil domain-containing protein 6	1.77E-41	48486.03125	80193.45313	74515	25857.31445	82304.29688	27808.97656	36914.85938	67274.91406	50154.43359	29875.63867	23823.88672	60934.96094	18321.09375	63504.11328	26534.9668	51819.61719	54718.39063	58150.16797
Q96DC8	ECHDC3	Enoyl-CoA hydratase domain-containing protein 3, mitochondrial	1.22E-28	656355.0625	409165.625	533685.25	502533.4688	186626.8906	195065.25	481218.9688	158052.9063	235484	254924.3281	328892.5938	301144.7188	384667.75	158497.8594	157987.9063	129572.1484	757946.625	236634.3438
Q96DC9	OTUB2	Ubiquitin thioesterase OTUB2	9.66E-17	4097129.5	8028653.5	3786120	3307275.75	8935849	7264029	4380520.5	1742148.375	4826394	2392630.5	3016781.5	3063088.5	2810865	6195026.5	2633687.25	5960052	2902837.25	4656170
Q96DE0	NUDT16	U8 snoRNA-decapping enzyme	4.85E-43	2680231	2576496.25	2485877.75	3212727.75	3879175.75	3174973.75	3814940.5	3619060	3329849.25	3382032.25	3283665.75	2649621	3452022.75	3891228	3476680.5	3070411	3147921.5	2982341.5
Q96DE5	ANAPC16	Anaphase-promoting complex subunit 16	4.86E-33	2009962.125	1469899.625	1336418.5	1268744.375	1119698.375	1112638.375	1238728.5	1655185.125	1072912.125	1356591.125	1317573.875	1354130.625	1054839.75	1273188.125	1319634.375	1415862.625	1373798.375	1099528.5
Q96DF8	ESS2	Splicing factor ESS-2 homolog	5.81E-31	2991328	2878298	3257973	2804164.25	3118037.25	3079902.75	3146433.5	3017457	2743442	3230030.25	2790402	2655165	2579601.75	2618181.5	2875369.25	2594322.75	2705805.5	2450026.5
Q96DG6	CMBL	Carboxymethylenebutenolidase homolog	1.45E-31	16326837	14510378	15809615	15891757	16619687	14426475	14446900	15322965	14145092	15263989	16514598	15908605	15163078	15182607	16107328	16789262	18862684	17577488
Q96DH6	MSI2	RNA-binding protein Musashi homolog 2	2.36E-40	3279703.25	3495701	3152447.5	2895720.5	3138425.25	3295655.25	2798923.75	2975533	2565669.25	3412514.75	2854873	2718645.75	2995625.25	3485253.5	2827236	2224717	2929383.25	3058590.5
Q96DI7	SNRNP40	U5 small nuclear ribonucleoprotein 40 kDa protein	3.33E-36	9412996	9497683	11666102	10073286	9648832	9333689	10249448	10020897	10433614	10216847	9873408	9442552	9462142	9264686	9553897	8678625	9925024	8749720
Q96DM3	RMC1	Regulator of MON1-CCZ1 complex	4.35E-25	1585936.875	1181261.875	2003917.875	1236432.375	1081622.375	1612452.75	1550642.375	1398249.25	1503042.625	1303367	1570926.875	1327397.125	1415095.25	1071010.75	1068720.875	1063725.125	1345319.125	1410259.625
Q96DP5	MTFMT	Methionyl-tRNA formyltransferase, mitochondrial	5.04E-23	595439.9375	800172.8125	670860.875	464909.0938	845399.1875	708883.3125	734143	908325.9375	764349.375	402172.3125	787024.5625	607089.125	766694.9375	447795.0625	339796.5	485379.0625	330988.875	663408
Q96DR4	STARD4	StAR-related lipid transfer protein 4	7.35E-31	699739.875	609260	763820.6875	595220.875	472382	520145.375	651878.4375	563916.75	509527.1875	739629.9375	389094.9375	420549.2188	495908.75	446049.8125	556123.1875	508603.375	397135.8438	323519.5625
Q96DT6	ATG4C	Cysteine protease ATG4C	3.58E-31	907021	1273489	1162525	796579.75	952033.0625	1049264	595623.625	1295527.125	1297946.125	907427.625	1007284.5	923779.6875	781027.75	667987.0625	630748.0625	719418.4375	721720.9375	622117.6875
Q96DU7	ITPKC	Inositol-trisphosphate 3-kinase C	2.23E-27	597565	405024.5625	626096.3125	440645.75	460585.9375	428352.5625	509793.75	413252.5313	398848.8125	401829.6875	342241.125	433573.1563	210134.7969	522634.2813	548753.0625	357156.6563	267399.0625	436656.8125
Q96DV4	MRPL38	39S ribosomal protein L38, mitochondrial	9.66E-31	4349048	3799620.25	3974469	4622022	4679259	4167190.25	3839765.5	4798001.5	3943474.5	4017275.5	4546279	4258520	4034892.75	4538193	4164277	3161550.25	3703418.75	4518812
Q96DW6	SLC25A38	Mitochondrial glycine transporter	1.06E-11	1375910.5	62479.10938	929087.1875	NaN	1428663.75	736005.4375	457386.2813	NaN	NaN	934937.5625	NaN	777957.8125	520349.9063	NaN	375805.5938	935534.125	410348.375	584313.3125
Q96DX4	RSPRY1	RING finger and SPRY domain-containing protein 1	7.92E-22	221107.9063	80986.72656	159329.2031	96975.15625	98457.10156	238662.3594	198153.8281	87527.59375	172546.3594	103443.8672	117400.7813	124934.3281	108559.1875	42910.02344	55124.05469	144653.0625	86843.83594	68166.26563
Q96DX5	ASB9	Ankyrin repeat and SOCS box protein 9	7.02E-36	780985.75	1197174.875	1156925.625	832120.875	1035968.063	1208715.625	1164321.75	1287963.625	1059223.375	961942.25	971295.1875	942001.8125	1115890.75	922099.25	871314.625	1213407.625	1379174	1189240.125
Q96DX7	TRIM44	Tripartite motif-containing protein 44	1.84E-49	6523733	7107180	6597149.5	6995606.5	6563242	6175772.5	7204417.5	5690249.5	6151259	6800593.5	7050226.5	5481288	5035499.5	4513081	5000633	4390602.5	4607032.5	5036954.5
Q96DY7	MTBP	Mdm2-binding protein	6.90E-29	246473.8906	463093.5313	712192.5625	429520	431115.625	297520.25	748817.25	881006.625	421670.0625	387800.4688	477128.8125	415532.8438	305981.1563	275908.625	332319.25	665496.25	246274.3438	437456.3438
Q96DZ1	ERLEC1	Endoplasmic reticulum lectin 1	1.22E-43	11347285	9922439	10999463	10145056	10366979	10242411	10600936	10445648	9977341	9980002	9819173	9368558	11052926	10660705	8966111	10210772	11328991	8516359
Q96DZ7	TM4SF19	Transmembrane 4 L6 family member 19	0.000427624	NaN	NaN	NaN	18417.46094	NaN	NaN	152419.3594	173236.3438	NaN	133669.2656	NaN	NaN	23083.13477	202014.0313	NaN	221810.2656	NaN	133735.6406
Q96E09	PABIR1	PPP2R1A-PPP2R2A-interacting phosphatase regulator 1	1.01E-11	310257.8438	650761.875	72863.3125	564534.5625	234918.7031	170755.5	653305.1875	799174.875	282063.25	493239.375	NaN	404060.5625	773301.5625	134415.0469	93327.27344	2322091.25	1402888.375	541060
Q96E11	MRRF	Ribosome-recycling factor, mitochondrial	1.28E-31	6978472	6699548.5	6959072.5	5879675	6101030	6252337	6281528	6862745.5	5005935	6220921.5	5650051.5	6133865.5	5704813.5	6288374.5	5736977.5	4956188.5	5277673.5	5361874
Q96E14	RMI2	RecQ-mediated genome instability protein 2	6.35E-24	2331533.75	1713272	2303242.75	2416973	2799895	2450273.25	3242729	3029840	2668992.5	2329666.5	1916974	1457876.5	1663459.125	2089423	2195605	2430105.5	2305510.5	1438246
Q96E22	NUS1	Dehydrodolichyl diphosphate synthase complex subunit NUS1	2.55E-30	852807.0625	965990.0625	950032.5625	1000318.625	986786.9375	691618.1875	769500.9375	883033.8125	668921.125	932413.75	859696.375	611020.9375	836815.4375	631154.4375	476868.125	721830.0625	751821.6875	471919.875
Q96E29	MTERF3	Transcription termination factor 3, mitochondrial	7.77E-36	724261.25	549478.125	839111	588096.75	951705.375	654238.875	743264.5625	1126249.875	773333.75	732019.6875	788630.125	717602.875	795809.25	588480.625	688005.0625	879386.5625	873863.25	589311.4375
Q96E35	ZMYND19	Zinc finger MYND domain-containing protein 19	9.97E-20	813005.5	198382.3281	565741.125	612559.3125	498822.9375	560751.625	427840.6563	856507.875	435032.5625	324935.5625	869683.8125	454594.7188	142223.9688	421500.75	278976.25	118205.1484	146668.1719	262978.375
Q96E39	RBMXL1	RNA binding motif protein, X-linked-like-1	6.20E-36	3150028	2870712.5	3496607.25	2882610.5	2964998	3820815	4015333.75	2666073.5	2812984.5	2836594	3206852.5	2378731.5	2620634.5	2580118.5	2760412	3083190.75	2829940.25	2644895.5
Q96EA4	SPDL1	Protein Spindly	1.39E-41	1729080.125	1775822.25	1994313.75	1945441.875	2024332.125	2062613.75	2088485.75	2019883	2056980	2110256	2086074.75	2348752	2088779.25	1993553	1999575	1987730.625	2042406.75	1822696
Q96EB1	ELP4	Elongator complex protein 4	1.44E-36	251316.6719	274723.0938	232904.0625	270711.2813	246753.3906	256623.7656	303718.2188	290598.5625	299730.6875	235936.5781	226809.6719	247582.125	229086.9063	238065.25	182283.1406	257201.75	261779.1406	244772.1719
Q96EB6	SIRT1	NAD-dependent protein deacetylase sirtuin-1	2.86E-46	4496542.5	4674991.5	4904398.5	4712220	4840553.5	4302862.5	4781339.5	5002586.5	4581833.5	4967379.5	4700837	5390215	5003573	4680581	5068269	5026929.5	4306427.5	5101342
Q96EC8	YIPF6	Protein YIPF6	1.79E-16	1618053.5	859451.0625	1532025	1661766.875	1586133	2522356.75	1970407	2201748.25	2714947.25	1214154.875	2131307.25	1945995.375	1587445.5	2344094.75	1841535.125	2030060.5	1466433.5	1739768.5
Q96ED9	HOOK2	Protein Hook homolog 2	3.61E-31	1727060.75	1920414.625	1789802.625	1838951.5	1780457.875	2051094.875	1704422.5	1461209	829210.3125	1402887.375	972157.125	1493463.875	997824.6875	1598473.375	1681912.25	1168778.625	777234.625	1293136.875
Q96EE3	SEH1L	Nucleoporin SEH1	2.96E-46	21107994	22588196	24783136	19991778	19957490	17328762	19412230	17419828	19760884	17408954	17601940	16167407	15962395	16699134	17204568	21187948	16071146	14614808
Q96EE4	CCDC126	Coiled-coil domain-containing protein 126	4.78E-22	1137198.625	1301885.5	810390.3125	664532.3125	874759.8125	627699.75	865290.375	782128.125	898363.875	1370319.75	915718.75	1000031.5	659631.25	754939.3125	766849.375	767988.125	857106.875	331269.0938
Q96EF6	FBXO17	F-box only protein 17	2.26E-07	87716.71094	54.35476303	1420.792969	3843.099854	18597.36133	161.8652344	10491.90137	108.1487045	3820.330811	NaN	NaN	71687.39844	49.36055756	NaN	20252.9668	NaN	57670.16016	13531.74414
Q96EF9;Q96K31	ZHX1-C8orf76;C8orf76	Zinc fingers and homeoboxes protein 1, isoform 2;Uncharacterized protein C8orf76	7.66E-18	761232.5	261845.9531	NaN	455403.9688	229414.2031	167448.1406	310790.7813	NaN	NaN	NaN	213745.7969	181787.7031	NaN	NaN	517915.4688	313605.6875	336615.9375	124052.9766
Q96EH3	MALSU1	Mitochondrial assembly of ribosomal large subunit protein 1	1.63E-37	2612893	2704764.75	2217149.75	2474621.25	2329782	2225533	2023145.875	2356660	2376810.5	2338870.5	2508016.5	2307958	2543169	3023724.25	2416892.5	1524617.25	2343336.75	2838786.5
Q96EI5	TCEAL4	Transcription elongation factor A protein-like 4	5.32E-49	3888417.5	3422661.5	2919599	3048452.25	3420387.5	3689894.5	2989222	2603570	2936199.25	3118113.5	3780241.75	3676784	3546287.5	3743466.25	3663279	3751107.25	3702487.25	4342947.5
Q96EK4	THAP11	THAP domain-containing protein 11	3.09E-30	861628.6875	1115543.125	1294733.25	738517	698082.0625	684942.75	703747	1059077.625	893312.5	886669.6875	922741.375	813322.0625	872806.375	768982.3125	493767.3125	992142.9375	774066.25	507249.25
Q96EK5	KIFBP	KIF-binding protein	7.20E-46	5445274	5607766.5	7108714.5	5677399	5904306	4940427.5	5905124	6460427	5978361	5876978	6067438	5996711	5740381.5	5531830.5	5575702	6083886.5	5569780.5	5757150
Q96EK6	GNPNAT1	Glucosamine 6-phosphate N-acetyltransferase	4.23E-47	4396310.5	4097082.75	4206456.5	4017455.5	4307737	3318235.25	4006240.5	3501423.75	3939003	4034396.75	4132422.25	3936323.75	3863847.75	4572231.5	3859859	4373039.5	3829786.5	4432612
Q96EK7	FAM120B	Constitutive coactivator of peroxisome proliferator-activated receptor gamma	1.14E-47	2691854.75	2606667.75	2480452.25	2284079.75	2675372.25	2753070	3123701.5	3235838.25	3074347.75	2822033.5	2496993.5	2609992.75	2775457	2800610	2592064	2872609.25	3083351.25	2918840
Q96EK9	KTI12	Protein KTI12 homolog	7.06E-43	7103564	8621685	9793880	8159562	7239856	8440026	8108362	9533734	8235265.5	8174144	8179861	8648158	7418344.5	7098592	8912222	7231074.5	8232426	7281737.5
Q96EL2	MRPS24	28S ribosomal protein S24, mitochondrial	2.75E-23	1679171.125	2068712.625	1577831.625	2182415.5	2015088	1623280.625	1657331.875	1754694.75	1653175	1852040	1865028.25	1787489.625	2325430.25	1772736.75	1567497.375	2037724.375	1977456.875	1835695.75
Q96EL3	MRPL53	39S ribosomal protein L53, mitochondrial	6.02E-31	6620014.5	7127701.5	8848464	7183441	6282526.5	8139289	9477611	7789060	8038784.5	8041856	8451159	7436229	8436878	7025980	7633501.5	9294746	7381505	7257574
Q96EM0	L3HYPDH	Trans-3-hydroxy-L-proline dehydratase	7.09E-29	931869.3125	777772.375	1005377	847994	901239.375	1012438.5	927087.4375	832047.8125	1056533.625	806114.3125	803215.8125	1105664.25	843485.6875	971018.8125	915071.3125	926200.875	1271570.875	1076601.5
Q96EN8	MOCOS	Molybdenum cofactor sulfurase	1.82E-40	1334743.75	1969523.5	1949006.375	1911132.75	1416527.5	1932081.25	1998860	1816504.25	2259722	1873601.75	1901677.125	1993195.375	1708137.5	1694355	1806540.625	1973068.875	1593425.375	1692345.625
Q96EN9	REX1BD	Required for excision 1-B domain-containing protein	2.36E-28	662875.6875	897319.4375	823236.5	677246.375	864656.5625	870077.375	777199.75	771029.5625	958729.1875	764685.3125	676338.0625	626979.375	799615.3125	581611	621474	758766.5	738153.0625	781915.4375
Q96EP0	RNF31	E3 ubiquitin-protein ligase RNF31	1.09E-28	559905.1875	787613.0625	785509.3125	678125.8125	489015.375	554530.1875	550375.5	755466.875	796840.3125	491904.875	662422.125	619390.375	498603.6875	627331.3125	556701.9375	516828.0938	670583.25	597834.9375
Q96EP5	DAZAP1	DAZ-associated protein 1	1.05E-46	11576519	8710243	10202680	10473938	8572295	10239500	9187145	9054554	8296462	10288270	9245390	9049580	9086427	8500055	9061521	7997788.5	8536731	8392055
Q96EQ0	SGTB	Small glutamine-rich tetratricopeptide repeat-containing protein beta	5.44E-49	4651378.5	3933730.75	3992642.5	3694949.25	4027473.5	4155235	3118261.5	3388214.75	3468775	3406589.25	3282719.5	3757102.75	2617503.5	3042413.5	2948428.25	3281748.75	3592619	2970073.25
Q96ER3	SAAL1	Protein SAAL1	8.23E-46	2956003.75	2990770	1811084	2510407.5	2451180.5	2994733.25	2767090.25	2311988	2693208.25	2980260.25	3324086.25	2896616	2498488.75	3250064	2614136.5	2587380.75	2827229.75	3381094.5
Q96ER9	CCDC51	Mitochondrial potassium channel	2.93E-38	5254491	4990722	6363024	7329143.5	5309182	5868626.5	5967081	6450107	6010816.5	6292856	5873451.5	6238225.5	6199724	5595668.5	5540844	5268171	6022312.5	5139814
Q96ES7	SGF29	SAGA-associated factor 29	6.25E-35	2966522.25	3570935.5	3755053.5	3804346.5	4019403.75	4456581.5	4189776.25	3524921.5	3938214.5	3176866.5	3770220.25	3984619	3921665.25	3904658.5	3635276.5	4114106.75	3377808.75	3257622.25
Q96EU6	RRP36	Ribosomal RNA processing protein 36 homolog	2.10E-43	1931843.875	1899383.5	1797662.125	2005814.125	1976324.5	2150166.5	1895593.125	1879052.875	1767922	2008197.25	1732061.25	1608898.125	2085834	1755887.625	1809783	1530159.875	1658872.5	2008952.75
Q96EV2	RBM33	RNA-binding protein 33	1.20E-36	5575473	4480954.5	6094155.5	5981583	6131643	5902656.5	7588430.5	6657539	6556205.5	5674621	5713835	4973763.5	5803701.5	4889739	5240523	7303496.5	5878285.5	5595511.5
Q96EV8	DTNBP1	Dysbindin	5.82E-37	1924391.25	2083431.875	1782105.25	1936032	2055765.375	1891535	1574244.875	1283865.125	1412408.625	1940340.875	1798645.75	1948683.125	1629073.625	1743003.75	1546692.625	1724807.125	1727036.25	1480465.625
Q96EX1	SMIM12	Small integral membrane protein 12	4.79E-05	NaN	NaN	4234346.5	1078845.875	NaN	NaN	NaN	1828907.375	2235012.25	NaN	390572.25	1514550.5	1007513.25	870587.9375	959334.5625	501492.0313	1443873	935341.375
Q96EX3	DYNC2I2	Cytoplasmic dynein 2 intermediate chain 2	1.77E-30	1097160.125	841680.6875	1497798.125	1317489.75	1230725	1326639.125	1228050.125	1001588.25	854060.4375	994073.8125	1311892	1198791.875	1078459.375	947283.875	1148652.375	1589275	1312964.25	1075117.75
Q96EY1	DNAJA3	DnaJ homolog subfamily A member 3, mitochondrial	5.35E-57	35972484	38415612	36813424	32986430	39134940	35120496	34712320	33090896	30714806	34134572	36913024	33863436	31753700	36874796	32906632	37297068	32155796	33287986
Q96EY4	TMA16	Translation machinery-associated protein 16	3.79E-38	4656005.5	4992840	4736427.5	4470876	4865482.5	5357182.5	4278198.5	3208699.75	4020569.25	3769721.5	3903322	3775426.5	4034215.5	3439881.75	3846085	2859345.75	2977154.75	3056833.75
Q96EY5	MVB12A	Multivesicular body subunit 12A	4.16E-22	1933889.875	1695314.5	1374839.625	2071409.25	2256753	1446499.875	2079239.75	1374256.75	1737594.625	1802132.625	1411335.75	1441417.875	2286902.75	1572278.25	1813814.25	1833145.5	1641020.875	1120504.5
Q96EY7	PTCD3	Pentatricopeptide repeat domain-containing protein 3, mitochondrial	2.22E-54	5600402.5	5740635	5221299.5	5886190	5986007.5	6111861.5	5600592.5	6139845	5865112.5	6070566	6319648	6708422.5	5655058	6169387.5	5912887.5	6440522	6204147.5	6365616
Q96EY8	MMAB	Corrinoid adenosyltransferase MMAB	4.93E-44	2310530.75	2614355.25	2059671.375	2134782.25	2180313	1915904.875	2111877.5	2217313.5	2041183.125	2236424.25	2475510.25	2348313	2274260	1661003.125	2255192	1981368.5	2303960.75	2208577.25
Q96EY9	ADAT3	Probable inactive tRNA-specific adenosine deaminase-like protein 3	9.67E-33	288783.5313	366710.875	307052.1875	357416	350743.6563	288570.4375	317732.6875	399901.375	308808.9375	383389.25	364737.6875	401770.9375	356714.9375	357777.875	338759.6563	433854.7188	285508.8438	278378.3438
Q96EZ8	MCRS1	Microspherule protein 1	4.87E-33	6331277	5042671.5	5944382.5	6326118.5	5541666	3864931.25	5775643.5	5148186	6246164	6524872	5831093.5	5917587	5605478.5	5104542.5	4959149	4045029.25	5213397	5578034
Q96F07	CYFIP2	Cytoplasmic FMR1-interacting protein 2	0.00055319	575122.5625	338723.1563	NaN	275364.5625	NaN	626779.1875	NaN	NaN	NaN	177350.1719	NaN	440383.9063	NaN	780154.5625	NaN	NaN	NaN	NaN
Q96F24	NRBF2	Nuclear receptor-binding factor 2	5.57E-39	1977594.875	3208484.75	4201247.5	2266711	2886154	2843651.25	3380763.75	2355579.5	3352171.25	2960371.75	2389380.75	2080418.875	2495408.75	2455792.5	2235938.75	2068033.75	2060103	2742247.5
Q96F25	ALG14	UDP-N-acetylglucosamine transferase subunit ALG14 homolog	1.59E-27	150427.4219	74549.63281	NaN	107564.6484	244490.1875	89607.74219	100047.8281	264312.0625	86425.33594	133985.7813	214784.8438	110575.5703	67169.61719	107126.5859	39402.69531	NaN	96074.22656	83721.28125
Q96F44	TRIM11	E3 ubiquitin-protein ligase TRIM11	1.24E-48	4455948.5	4660034.5	4117827.75	3432970.75	4341527	4360217	4585503.5	4235259	4005830.75	3981854.5	4707300.5	3695741.25	2982068.5	4103198	2910988.75	4317043	3695968.25	4285052.5
Q96F45	ZNF503	Zinc finger protein 503	2.00E-44	1639038.125	1696294	2437333.75	2861979.5	2489273	2098496.5	2195267.25	1870954.5	2106001.5	1616855.125	1320214	1189440.625	1747745.75	1988726.625	1674316.75	1914017.875	2248631	1523657.125
Q96F46	IL17RA	Interleukin-17 receptor A	6.75E-26	676154.8125	1144689	1238928.625	1030395.25	865810.25	489515.3125	1959341.25	776435.1875	1031894.25	737568.625	882488.1875	153783.7031	1232377.375	830850.4375	707017.3125	652037.9375	794573.125	882545.5625
Q96F63	CCDC97	Coiled-coil domain-containing protein 97	5.22E-34	1932393.75	1823040	1833784.125	1813280	2021616.5	2401840	1951902.5	2119288	1843111.375	1771130.875	1855805.75	1904802.5	1748702.625	1924341.25	1801901.5	1832787.875	1504854.25	1764944.75
Q96F86	EDC3	Enhancer of mRNA-decapping protein 3	3.34E-42	3223396.25	2994399.5	3542532.75	3320762.5	3138403.75	3427763.75	3636524	3269525	3274382.5	3417746.25	3440921.25	3039420.5	3434600.25	3215631.5	3254242.5	3251896	3167888	3233079
Q96FB5	METTL25B	Methyltransferase-like protein 25B	1.25E-25	NaN	16916.57617	31766.89258	76154.23438	71615.14844	51432.05859	32150.86914	76633.82813	33521.52344	NaN	6.325072289	83853.42969	52906.57813	113959.3516	24189.33789	87910.8125	61986.35156	18069.08594
Q96FC9	DDX11	ATP-dependent DNA helicase DDX11	7.44E-40	9489738	11327295	10273707	10079095	9622273	8444803	10904975	9298216	9715885	10892797	9622371	10694871	10470327	11191831	9577849	10050196	9458122	10547881
Q96FF9	CDCA5	Sororin	2.56E-40	2014241.875	1748395.75	2445292.5	2586855.5	2497674.75	2489504.25	2767323.25	2547557.5	2746605.25	2342488.25	2650668.5	2456883.5	3062005.75	2511949	2931501	2811847.25	2700928.25	2622203.75
Q96FH0	BORCS8	BLOC-1-related complex subunit 8	3.85E-16	1545672.625	1525289.875	3960375.75	1546901.375	1814732.875	2085580.875	1468740.25	2546274	1840736.25	1633604.5	2449798.75	1842428.75	2317094.5	1852605.875	1991339.875	282569.4063	2448870	1499459.5
Q96FJ0	STAMBPL1	AMSH-like protease	1.43E-47	869417.6875	630339.25	727578.75	686697.9375	629587.4375	486355.5313	452823.4063	659777.0625	351241.0938	610385.1875	559227.625	512511.25	487466.1875	488045.9688	557109.75	423225.4688	551943	304375.8438
Q96FJ2	DYNLL2	Dynein light chain 2, cytoplasmic	2.77E-31	770333.4375	1742202.125	809231.3125	886174.1875	1363337.25	1085415.5	945649.25	817452.125	1004515.875	1184586.25	1194445.25	1178096.625	1241166.25	995526	767707.5	1199416.75	1210301.25	1360445.75
